,rise_time,rise_time_scale
35mm_ROI13_6,2.2850711561067056,0.3116725931484475
35mm_ROI13_7,2.4173228826156983,0.2447360475651562
35mm_ROI13_8,2.2286230003242378,0.27562410699562745
35mm_ROI13_9,2.2953185204291726,0.29438610314969815
35mm_ROI13_10,2.2286230003242378,0.27562410699562745
35mm_ROI13_11,2.2953185204291726,0.29438610314969815
35mm_ROI13_12,2.3248985007157463,0.30618840099586797
35mm_ROI13_13,2.278458634725874,0.23797966950049104
35mm_ROI13_14,2.3886975446195833,0.43250931292017936
35mm_ROI14_0,3.1291802329443557,0.2870691010133074
35mm_ROI14_1,2.985292906690422,0.37563473460677677
35mm_ROI14_2,3.0412757134519683,0.4077494816940938
35mm_ROI14_3,3.2190311209359264,0.3508773182005238
35mm_ROI14_4,3.044250881581298,0.44625794695125837
35mm_ROI14_5,3.0340626225804277,0.3337620281426194
35mm_ROI14_6,3.0296770711757923,0.3831675248415119
35mm_ROI14_7,3.075597936417543,0.3547381143315072
35mm_ROI14_8,3.0232037345145386,0.3238668643006302
35mm_ROI14_9,2.880261498449304,0.5953374725333719
35mm_ROI14_10,3.0848984077893014,0.4362039320487261
35mm_ROI7-3_0,2.486894666720037,0.3096092444562897
35mm_ROI7-3_1,2.479715758568432,0.3116176726607517
35mm_ROI18-1-1_0,1.9325935215686032,0.3383547751459517
35mm_ROI18-1-1_1,1.8930223990332697,0.3519841485209465
35mm_ROI18-1-1_2,1.9414141174343758,0.32076303084798474
35mm_ROI18-1-1_3,1.9917682603434868,0.37791105393215063
35mm_ROI18-1-1_4,2.0345592738001956,0.45362737834476746
35mm_ROI18-1-1_5,1.9854918675459712,0.33389334951542343
35mm_ROI18-1-1_6,2.0471336955594315,0.3951252255055129
35mm_ROI18-1-1_7,2.020251682548889,0.2860891832536113
35mm_ROI18-1-1_8,1.9870454381285148,0.35658550281062373
35mm_ROI18-1-1_9,1.8877677514636437,0.2943523581486058
35mm_ROI18-1-1_10,2.082011987081232,0.38071882261902024
35mm_ROI18-1-1_11,1.7911177468046775,0.408079437517222
35mm_ROI18-1-1_12,1.931328207355438,0.27329635912803557
