,mid_time,max2d_time,time_threshold,slope,peak
"35mm_ROI9-2, repre_0",3.75,2.75,3.1500000000000004,-0.0320533813858906,0.09965705757853403
"35mm_ROI9-2, repre_1",3.75,2.75,3.1500000000000004,-0.0320533813858906,0.09965705757853403
"35mm_ROI9-2, repre_2",3.75,2.75,3.1500000000000004,-0.0320533813858906,0.09965705757853403
"35mm_ROI9-2, repre_3",3.75,2.75,3.1500000000000004,-0.0320533813858906,0.09965705757853403
"35mm_ROI9-2, repre_4",3.75,2.75,3.1500000000000004,-0.0320533813858906,0.09965705757853403
"35mm_ROI9-2, repre_5",3.75,2.75,3.1500000000000004,-0.0320533813858906,0.09965705757853403
"35mm_ROI9-2, repre_6",3.75,2.75,3.1500000000000004,-0.0320533813858906,0.09965705757853403
"35mm_ROI9-2, repre_7",3.75,2.75,3.1500000000000004,-0.0320533813858906,0.09965705757853403
"35mm_ROI9-2, repre_8",3.75,2.75,3.1500000000000004,-0.0320533813858906,0.09965705757853403
"35mm_ROI9-2, repre_9",3.75,2.75,3.1500000000000004,-0.0320533813858906,0.09965705757853403
"35mm_ROI9-2, repre_10",3.75,2.75,3.1500000000000004,-0.0320533813858906,0.09965705757853403
"35mm_ROI9-2, repre_11",3.75,2.75,3.1500000000000004,-0.0320533813858906,0.09965705757853403
"35mm_ROI9-2, repre_12",3.75,2.75,3.1500000000000004,-0.0320533813858906,0.09965705757853403
"35mm_ROI9-2, repre_13",3.75,2.75,3.1500000000000004,-0.0320533813858906,0.09965705757853403
35mm_ROI10_0,2.6500000000000004,1.7000000000000002,2.0,0.001019319072294536,0.047524911332311175
35mm_ROI10_1,2.6500000000000004,1.7000000000000002,2.0,0.001019319072294536,0.047524911332311175
35mm_ROI10_2,2.6500000000000004,1.7000000000000002,2.0,0.001019319072294536,0.047524911332311175
35mm_ROI10_3,2.6500000000000004,1.7000000000000002,2.0,0.001019319072294536,0.047524911332311175
35mm_ROI10_4,2.6500000000000004,1.7000000000000002,2.0,0.001019319072294536,0.047524911332311175
35mm_ROI12 repre_0,3.5,2.4000000000000004,2.45,-0.013253335075472952,0.2429277779521339
35mm_ROI12 repre_1,3.5,2.4000000000000004,2.45,-0.013253335075472952,0.2429277779521339
35mm_ROI12 repre_2,3.5,2.4000000000000004,2.45,-0.013253335075472952,0.2429277779521339
35mm_ROI12 repre_3,3.5,2.4000000000000004,2.45,-0.013253335075472952,0.2429277779521339
35mm_ROI12 repre_4,3.5,2.4000000000000004,2.45,-0.013253335075472952,0.2429277779521339
35mm_ROI12 repre_5,3.5,2.4000000000000004,2.45,-0.013253335075472952,0.2429277779521339
35mm_ROI12 repre_6,3.5,2.4000000000000004,2.45,-0.013253335075472952,0.2429277779521339
35mm_ROI13_0,3.5500000000000003,2.3000000000000003,2.45,-0.014374487858863928,0.13668603104613167
35mm_ROI13_1,3.5500000000000003,2.3000000000000003,2.45,-0.014374487858863928,0.13668603104613167
35mm_ROI13_2,3.5500000000000003,2.3000000000000003,2.45,-0.014374487858863928,0.13668603104613167
35mm_ROI13_3,3.5500000000000003,2.3000000000000003,2.45,-0.014374487858863928,0.13668603104613167
35mm_ROI13_4,3.5500000000000003,2.3000000000000003,2.45,-0.014374487858863928,0.13668603104613167
35mm_ROI13_5,3.5500000000000003,2.3000000000000003,2.45,-0.014374487858863928,0.13668603104613167
35mm_ROI13_6,3.5500000000000003,2.3000000000000003,2.45,-0.014374487858863928,0.13668603104613167
35mm_ROI13_7,3.5500000000000003,2.3000000000000003,2.45,-0.014374487858863928,0.13668603104613167
35mm_ROI13_8,3.5500000000000003,2.3000000000000003,2.45,-0.014374487858863928,0.13668603104613167
35mm_ROI13_9,3.5500000000000003,2.3000000000000003,2.45,-0.014374487858863928,0.13668603104613167
35mm_ROI13_10,3.5500000000000003,2.3000000000000003,2.45,-0.014374487858863928,0.13668603104613167
35mm_ROI13_11,3.5500000000000003,2.3000000000000003,2.45,-0.014374487858863928,0.13668603104613167
35mm_ROI13_12,3.5500000000000003,2.3000000000000003,2.45,-0.014374487858863928,0.13668603104613167
35mm_ROI13_13,3.5500000000000003,2.3000000000000003,2.45,-0.014374487858863928,0.13668603104613167
35mm_ROI13_14,3.5500000000000003,2.3000000000000003,2.45,-0.014374487858863928,0.13668603104613167
35mm_ROI14_0,4.2,3.0,3.1500000000000004,-0.013842314702301054,0.17945569756968222
35mm_ROI14_1,4.2,3.0,3.1500000000000004,-0.013842314702301054,0.17945569756968222
35mm_ROI14_2,4.2,3.0,3.1500000000000004,-0.013842314702301054,0.17945569756968222
35mm_ROI14_3,4.2,3.0,3.1500000000000004,-0.013842314702301054,0.17945569756968222
35mm_ROI14_4,4.2,3.0,3.1500000000000004,-0.013842314702301054,0.17945569756968222
35mm_ROI14_5,4.2,3.0,3.1500000000000004,-0.013842314702301054,0.17945569756968222
35mm_ROI14_6,4.2,3.0,3.1500000000000004,-0.013842314702301054,0.17945569756968222
35mm_ROI14_7,4.2,3.0,3.1500000000000004,-0.013842314702301054,0.17945569756968222
35mm_ROI14_8,4.2,3.0,3.1500000000000004,-0.013842314702301054,0.17945569756968222
35mm_ROI14_9,4.2,3.0,3.1500000000000004,-0.013842314702301054,0.17945569756968222
35mm_ROI14_10,4.2,3.0,3.1500000000000004,-0.013842314702301054,0.17945569756968222
35mm_ROI7-3_0,3.2,2.45,2.3000000000000003,-0.008028628518188927,0.1937523863420058
35mm_ROI7-3_1,3.2,2.45,2.3000000000000003,-0.008028628518188927,0.1937523863420058
35mm_ROI18-1-1_0,2.6500000000000004,1.75,1.7000000000000002,0.0001612112750446263,0.08053895702785355
35mm_ROI18-1-1_1,2.6500000000000004,1.75,1.7000000000000002,0.0001612112750446263,0.08053895702785355
35mm_ROI18-1-1_2,2.6500000000000004,1.75,1.7000000000000002,0.0001612112750446263,0.08053895702785355
35mm_ROI18-1-1_3,2.6500000000000004,1.75,1.7000000000000002,0.0001612112750446263,0.08053895702785355
35mm_ROI18-1-1_4,2.6500000000000004,1.75,1.7000000000000002,0.0001612112750446263,0.08053895702785355
35mm_ROI18-1-1_5,2.6500000000000004,1.75,1.7000000000000002,0.0001612112750446263,0.08053895702785355
