,mid_time,max2d_time,time_threshold,slope,peak
35mm_ROI15_7,2.0,1.4500000000000002,1.7000000000000002,1.0028604777918413,0.042798681602413395
35mm_ROI15_8,2.15,1.4000000000000001,1.6,1.0527951086007437,0.04203529817043409
35mm_ROI15_9,2.0500000000000003,1.6500000000000001,1.55,0.9789040541750916,0.10448188323818583
35mm_ROI17_0,1.7000000000000002,1.5,1.6500000000000001,1.0623581857184277,0.05639165110962288
35mm_ROI17_1,1.6,1.4000000000000001,1.85,0.6373194630558588,0.03220054869346543
35mm_ROI17_2,1.75,1.6500000000000001,,0.7409438946331093,0.033185194061107766
35mm_ROI17_3,1.0,1.7000000000000002,,-0.08705506024561341,0.03733598303265842
35mm_ROI18_0,3.0,2.8000000000000003,2.75,1.5169801358652866,0.057889290071898386
35mm_ROI18_1,3.0,2.8000000000000003,2.6,1.4359057704221994,0.05384473985545988
35mm_ROI18_2,3.2,1.85,2.4000000000000004,0.8803080364393061,0.033462905618659694
35mm_ROI18_3,3.0,2.85,1.35,1.1714690800141727,0.04544634476486301
"35mm_ROI9-2, repre_0",3.2,2.7,2.85,1.325776084482546,0.06915628360609492
"35mm_ROI9-2, repre_1",3.2,2.85,2.75,1.3437037029647374,0.10479681312210343
"35mm_ROI9-2, repre_2",3.2,2.8000000000000003,2.75,1.1740069584756343,0.17167842860057633
"35mm_ROI9-2, repre_3",3.3000000000000003,2.85,2.75,1.085079919244566,0.2007884366427302
"35mm_ROI9-2, repre_4",3.0500000000000003,2.8000000000000003,2.8000000000000003,1.7238243998477267,0.036146330838824514
"35mm_ROI9-2, repre_5",3.1500000000000004,2.8000000000000003,2.95,1.3239718489636638,0.22872758164856188
"35mm_ROI9-2, repre_6",3.25,2.8000000000000003,2.75,1.1881056710765097,0.13796691141579331
"35mm_ROI9-2, repre_7",3.2,2.8000000000000003,2.8000000000000003,1.508083081029788,0.21983091347939532
"35mm_ROI9-2, repre_8",3.6,3.0,3.1,0.8564336164124612,0.3470903086265974
"35mm_ROI9-2, repre_9",3.35,2.9000000000000004,3.0,1.120066515861519,0.28515622007806324
"35mm_ROI9-2, repre_10",3.1500000000000004,2.8000000000000003,2.8000000000000003,1.305405022369404,0.3226651729556589
"35mm_ROI9-2, repre_11",3.2,2.8000000000000003,3.1500000000000004,1.2450811985419388,0.17600880743622366
"35mm_ROI9-2, repre_12",3.25,2.85,2.95,1.1720797171223665,0.2950406034707279
"35mm_ROI9-2, repre_13",3.1500000000000004,2.75,3.1500000000000004,1.6066851724159217,0.09965705757853403
35mm_ROI10_0,2.2,1.9000000000000001,1.6500000000000001,1.161793150083395,0.14154266172751304
